Team,Games Played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Average Ball Possession, Corner Kiks, Total shoots
Italy,7,5,2,0,12,2,10,58,42,74
France,7,4,3,0,9,3,6,61,40,89
Germany,7,5,1,1,14,6,8,45,36,82
Portugal,7,4,1,2,7,5,2,55,25,75
Brazil,5,4,0,1,10,2,8,47,21,81
Argentina,5,3,2,0,11,3,8,58,40,80
England,5,3,2,0,6,2,4,45,36,70
Ukraine,5,2,1,2,5,7,-2,50,50,69
Spain,4,3,0,1,9,4,5,62,30,72
Switzerland,4,2,2,0,4,0,4,51,35,65
Netherlands,4,2,1,1,3,2,1,56,34,64
Ecuador,4,2,0,2,5,4,1,47,27,54
Ghana,4,2,0,2,4,6,-2,52,34,52
Sweden,4,1,2,1,3,4,-1,56,31,58
Mexico,4,1,1,2,5,5,0,45,40,49
Australia,4,1,1,2,5,6,-1,47,28,45
South Korea,3,1,1,1,3,4,-1,41,42,34
Paraguay,3,1,0,2,2,2,0,48,34,32
Ivory Coast,3,1,0,2,5,6,-1,53,35,40
Czech Republic,3,1,0,2,3,4,-1,42,32,31
Poland,3,1,0,2,2,4,-2,51,35,39
Croatia,3,0,2,1,2,3,-1,48,12,21
Angola,3,0,2,1,1,2,-1,54,14,15
Tunisia,3,0,1,2,3,6,-3,57,20,31
Iran,3,0,1,2,2,6,-4,46,23,15
United States,3,0,1,2,2,6,-4,43,18,15
